20 8
0  	0 	0	-5	-5	0	10	0
0  	5	5  	5	-5	10	5	0
2.41	4.16	6.68	2.94	-3.03	10	2.64	0
8.48	7.38	7.69 	2.5	5 	10 	3.42 	7.69
0 	2.94 	1.96 	3.16 	-2.58 	1.74 	2 	2
2.3 	8.2  	1.7 	-2.5 	-2.7 	2.6 	5.2 	6.5
1.2 	1.8 	2.6 	3.7 	-1.8 	6.7 	3.9 	2.8
6.2 	1.3 	2.6 	3.7 	-1.8 	6.7 	3.9 	3.1
6.5 	1.0 	1.2 	-0.1 	-3 	3.3 	3.9 	3.2
5.2 	1.0 	1.2 	-2.5 	-0.05 	3.3 	2.7 	8.6
7.3 	1.05 	1.27 	-2.52 	-3.38 	8.51 	8.61 	8.61
1.27 	1.94 	3.5 	-2.85 	-3.83 	1.70 	7.5 	1.16
1.27 	0.83 	0 	-2.85 	0.38 	1.70 	10 	1.27
4.83 	3.5 	2.61 	-1.97 	-1.05 	3.35 	8.94 	3.94
10 	10 	10 	5 	5 	10 	0 	10
9.27 	8.38 	8.93 	2.38 	5 	10 	9.04 	8.59
6.34 	6.27 	8.93 	2.38 	2.92 	9.15 	10 	7.02
5.33 	4.94 	5.67 	-1.83 	3.25 	3.65 	6.79 	4.43
4.77 	8.05 	1.96 	3.05 	-2.47 	7.69 	1.06 	1.18
6.46 	2.27 	2.97 	-2.61 	3.70 	10 	4.10 	3.20
